x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
350.0,0.0,350.0,0.0,True,True,349.9187372100912,8.629092713717672,1150.0
400.0,0.0,400.0,0.0,True,True,399.89960741157756,9.86182024424874,1100.0
450.0,0.0,450.0,0.0,True,True,449.87710667496253,11.094547774779807,1050.0
500.0,0.0,500.0,0.0,True,True,499.8502581890539,12.327275305310913,1000.0
550.0,0.0,550.0,0.0,True,True,454.999232489708,13.560002835841981,950.0
600.0,0.0,600.0,0.0,True,True,404.9992330767594,14.792730366373048,900.0
650.0,0.0,650.0,0.0,True,True,354.99923357279533,16.025457896904197,850.0
700.0,0.0,700.0,0.0,True,True,304.9992339974592,17.258185427435183,800.0
750.0,0.0,750.0,0.0,True,True,254.9992343651213,18.010161176440434,750.0
800.0,0.0,800.0,0.0,True,True,204.99923468653662,18.08829969430431,795.0007653134634
850.0,0.0,850.0,0.0,True,True,154.9992349699146,18.249561649246136,845.0007650300854
900.0,0.0,900.0,0.0,True,True,104.99923522163033,18.491772475275834,895.0007647783697
950.0,0.0,950.0,0.0,True,True,54.99923544670946,17.07836616068837,945.0007645532905
1000.0,0.0,1000.0,0.0,True,True,4.999235649167645,15.528726844732775,995.0007643508324
50.0,50.0,50.0,50.0,True,True,47.78449286351213,49.11976447276766,1451.486180388569
100.0,50.0,100.0,50.0,True,True,97.65560038105968,48.254966149085575,1401.5575372628907
150.0,50.0,150.0,50.0,True,True,147.51190739027015,47.40644986252059,1351.6341696841796
200.0,50.0,200.0,50.0,True,True,197.35071396547823,46.575105511582294,1301.716684635049
250.0,50.0,250.0,50.0,True,True,247.16862232681262,45.76186898053253,1251.8057858376776
300.0,50.0,300.0,50.0,True,True,296.96129633382236,44.96772271415228,1201.9022938059932
350.0,50.0,350.0,50.0,True,True,346.72311442832995,44.19369586186929,1152.007171095532
400.0,50.0,400.0,50.0,True,True,396.44665674549253,43.440863896738755,1102.1215543917795
450.0,50.0,450.0,50.0,True,True,446.121926313887,42.71034760555824,1052.246795696891
500.0,50.0,500.0,50.0,True,True,495.7351290607105,42.00331133862318,1002.3845157691717
550.0,50.0,550.0,50.0,True,True,452.7024915169344,41.32096040219863,952.5366742825281
600.0,50.0,600.0,50.0,True,True,402.8947841090246,40.66453747480571,902.7056631331395
650.0,50.0,650.0,50.0,True,True,353.057409891229,40.03531793115608,852.8944323021832
700.0,50.0,700.0,50.0,True,True,303.19673440124984,39.4346039663982,803.1066623129743
750.0,50.0,750.0,50.0,True,True,253.3174255404648,38.863717429675425,753.3470046737478
800.0,50.0,800.0,50.0,True,True,203.42298360173834,38.095630702396214,796.5770163982617
850.0,50.0,850.0,50.0,True,True,153.5160845554161,36.9914670953675,846.4839154445839
900.0,50.0,900.0,50.0,True,True,103.59880903758813,35.89567427213241,896.4011909624119
950.0,50.0,950.0,50.0,True,True,53.67279907461841,34.80904278148785,946.3272009253816
1000.0,50.0,1000.0,50.0,True,True,3.7393678039343285,33.732457983445705,996.2606321960657
50.0,100.0,50.0,100.0,True,True,43.01254359657264,99.11600731746516,1454.9671798483398
100.0,100.0,100.0,100.0,True,True,92.62623568845902,98.23952894553531,1405.1622300771014
150.0,100.0,150.0,100.0,True,True,142.19595107589942,97.37076780355895,1355.3716432162344
200.0,100.0,200.0,100.0,True,True,191.7137680303316,96.50993229817112,1305.5970625097536
250.0,100.0,250.0,100.0,True,True,241.16975250073074,95.65723640200784,1255.840391145913
300.0,100.0,300.0,100.0,True,True,290.55128042955823,94.81289972504116,1206.1038456256333
350.0,100.0,350.0,100.0,True,True,339.8420687635454,93.9771475774875,1156.3900228004234
400.0,100.0,400.0,100.0,True,True,389.0207592978228,93.15021102316453,1106.7019848323152
450.0,100.0,450.0,100.0,True,True,438.05879750320764,92.33232692209351,1057.0433679046514
